id,full_nr,name,ks,material,commentary,event_type,location,start,end,before_Christ,country_and_unit,participants_role,participant,parish,text,class,technique,parameter,unit,value,museum_abbr,musealia_mark,musealia_seria_nr,musealia_queue_nr,musealia_additional_nr,collection_mark,collection_queue_nr,collection_additional_nr,element_count,legend,is_original,initial_info,damages,state,color,additional_text,type
4092218,,,,,,luule,,,,,Eesti  ,autor,"Kaplinski, Jaan",,,,,läbimõõt,cm,17,ETMM,_,8616.0,,01.veebr,Hp,,,1.0,,1.0,,,hea,,"Tüütus, Tüütus
Ainult kaasa minna.Laine üks lainelaeva. 
Õõtsub mandri ja mere vahel.
Seisad kesk suletud seebimulli
B: Üks kuningas oli kord maata.
Sina kauge päike.
Ei ole lohutust",helisalvestis
2746358,AM N 3102," 8. Eesti Laskurkorpus. Reproduktsioon skeemist ""Sõjaretked a.[?]""",3102.0,hõbeželatiinemulsioon,,kopeerimine (valmistamine),,,,,  ,,,,,,mustvalge fotograafia,negatiivi formaat,24 x 36 mm,1,AM,,,,,N,,,1.0,,1.0,,,hea,,,fotonegatiiv
2808999,,,,,,,,,,,,,,,,,,,,,AM,,,,,N,17.0,,1.0,,1.0,,,hea,,,fotonegatiiv
3649157,ETMM _ 10131 T 411:2/23:3,"Kostüümikavand tegelasele Vana krahv Moor lavastusele Röövlid. Fr. Schiller, Vanemuine 1983",411.0,paber,,teatrietendused,,1983,,ei,  ,seosorganisatsioon,Teater Vanemuine,,,,pliiats,,,,ETMM,_,10131.0,,,T,2.0,23:03,1.0,,1.0,,,hea,,,kavand/joonis/eskiis
3648813,ETMM _ 12896:21 M 524:2/8:3,"""Kokoro"" flöödile ja klaverile, 1971",524.0,paber,,muusika,,14.03.1971,,ei,  ,autor,"Sõmer, Avo",,,,käsitsi kirjutamine,,,,ETMM,_,12896.0,21.0,,M,2.0,08:03,1.0,"Avo Sõmera CV ja käsikirjad saabusid muuseumisse posti teel. Arvo Sõmer on Eesti päritolu muusikateadlane ja helilooja Avo Sõmer (sündinud 1934) on eelkõige tuntud 20. sajandi heliloojate, sh Debussy ja Tubina loomingut analüüsivate kirjutiste poolest. 
Ehkki Sõmer töötas aastast 1962 kuni pensionile jäämiseni 2000. aastal Connecticuti Ülikoolis, on ta mitmel korral loengute ning ettekannetega esinenud ka Eestis.
Tema isikuarhiiv M524 sisaldab valdavalt heliloomingu originaalkäsikirju aastatest 1954-1978. Esindatud on nii koori- kui kammermuusika.",1.0,M524:2/8:3,,hea,,,käsikiri
4285414,,,,,,,,,,,,,,,,,,dokumendi maht,leht,1,ETMM,_,7315.0,,,T,1.0,0.425694444,1.0,,1.0,,,rahuldav,,,dokument
3627148,ETMM _ 9712 T 19:2/61:49,Kostüümikavand Daam pikas tualetis Estonia teatri lavastusest Bajadeer ,19.0,paber,,teatrietendused,linn Tallinn,1957,,ei,Eesti  ,seosorganisatsioon,Teater Estonia,,,,akvarell,kõrgus,cm,31,ETMM,_,9712.0,,,T,2.0,61:49:00,1.0,,1.0,,,rahuldav,,,kavand/joonis/eskiis
3491363,ETMM _ 10927 T 7:3523/Ar,Летняя школа,7.0,paber,,trükkimine/ avaldamine,linn Tartu,,,,Eesti  ,,,,,,masinal kirjutamine,trükise maht,lk,51,ETMM,_,10927.0,,,T,3523.0,Ar,1.0,,0.0,,,hea,,,käsikiri
4294555,ETMM _ 10447 Fk 84400/r,"Traviata, Teater Estonia, 1987, osades: Germont - Vladimir Tšernov",84400.0,fotomaterjal,,teater,,18.04.1987,,ei,  ,seosorganisatsioon,Rahvusooper Estonia,,,,,filmikaader,60 x 60 mm,1,ETMM,_,10447.0,,,Fk,,r,1.0,,1.0,TB020322,,hea,,,fotonegatiiv
2065022,,,,,,,,,,,,,,,,,,,,,AM,,,,,F,85.0,,1.0,,,,,hea,,,foto
205058,ETMM _ 2056 Gk 354,"karikatuur, Albert Üksip",354.0,paber,,karikatuurid,,,,,  ,autor,"Randel, Felix",,,,joonistamine,kõrgus,cm,"25,7",ETMM,_,2056.0,,,Gk,,,1.0,,1.0,,,rahuldav,pruun,"F. Randel ""Teeneline näitleja A.Üksip""",karikatuur
2739344,,,,,,,,,,,,,,,,,,,,,AM,,,,,F,3.0,,1.0,,1.0,,,hea,,,foto
2503378,,,,,,,,,,,,,,,,,,,,,ETMM,_,7669.0,,,Mo,1.0,20:06,1.0,,1.0,,,hea,,,kava
3563659,ETMM _ 9712 T 463:2/42:4,"Kostüümikavand tegelasele Olga lavastuses Ohver. R. Kangro, Estonia 1981",463.0,paber,,teatrietendused,,1981,,ei,  ,seosorganisatsioon,Teater Estonia,,,,segatehnika,,,,ETMM,_,9712.0,,,T,2.0,42:04:00,1.0,,1.0,,,hea,,,kavand/joonis/eskiis
3402896,AM F 33185:48,"Tallinna Sööklate, Restoranide ja Kohvikute Trust. Söökla ""Kungla"", Karjamaa tn.4, ca 1960 - 1970. ",33185.0,hõbeželatiinpaber,,toitlustusteenindus,,1960,1970,ei,Eesti  Tallinn,,,,,,,kõrgus,cm,"17,2",AM,,,,,F,48.0,,1.0,Majandusajaloo Muuseumi likvideerimiskomisjoni poolt üleantud albumid. ,1.0,,,hea,,,foto
4040988,ETMM _ 9949 M 203:2/186:3,"Käsikiri, Naissoo, Uno-Ühel kaugel päeval -segakoorile",203.0,paber,,komponeerimine,,,,,  ,autor,"Naissoo, Uno",,,,käsitsi kirjutamine,,,,ETMM,_,9949.0,,,M,2.0,186:03:00,1.0,,1.0,,,rahuldav,,,käsikiri
3288463,AM _ 21081 G 7732,Hiiumaa motiiv,7732.0,paber,,maastikud,,,,,  ,autor,"Roosma, Maks",,,,pehmelakk,kõrgus,cm,"31,5",AM,_,21081.0,,,G,,,1.0,,1.0,,,hea,,,graafika
3690575,ETMM _ 10388 T 22:2/47:14,Kostüümikavand Paula osatäitjale Vanemuise teatri lavastusest Tooma tohter. Paula pulm ,22.0,paber,,teatrietendused,linn Tartu,1967,,ei,Eesti  ,autor,"Sander, Georg",,,,akvarell,kõrgus,cm,"30,5",ETMM,_,10388.0,,,T,2.0,47:14:00,1.0,,1.0,,,hea,,,kavand/joonis/eskiis
2743782,AM _ 1151-R F 1545,Eesti Laskurkorpuse tankistid lähevad lahingusse.,1545.0,hõbeželatiinpaber,,sõjavägi,,,,,  ,,,,,,mustvalge fotograafia,kõrgus,cm,"6,1",AM,_,1151.0,,R,F,,,1.0,,,,,hea,,,foto
3186852,ETMM _ 5743 M 15:1/188:2,"Foto, Eduard Visnapuu, Maal Friedebert Tuglas",15.0,fotomaterjal,,fotograafia,,,,,  ,osaleja,"Tuglas, Friedebert",,,,,,,,ETMM,_,5743.0,,,M,1.0,188:02:00,1.0,,1.0,,,rahuldav,,,foto
2763190,,,,,,,,,,,,,,,,,,,,,AM,,,,,N,,,1.0,,0.0,,,hea,,,fotonegatiiv
3394002,,,,,,,,,,,,,,,,,,,,,AM,,,,,F,124.0,,1.0,"Majandusajaloo Muuseumi likvideerimiskomsjoni poolt üleantud albumid.

",1.0,,,hea,,,foto
2051695,,,,,,,,,,,,,,,,,,,,,AM,,,,,F,129.0,,1.0,,,,,hea,,,foto
3975681,ETMM _ 8435 M 53:1/95:11,Telegramm õnnitlustega N.Goldschmidt`ile Maria Mihhailova`lt ja Oskar Lind`ilt ,53.0,paber,,kirjavahetus,,1960,,ei,  ,adressaat,"Goldschmidt, Nikolai",,,,,,,,ETMM,_,8435.0,,,M,1.0,95:11:00,1.0,,1.0,,,hea,,,telegramm
3523623,ETMM _ 7215 M 8:1/113:4,"Kava, Franz Erika, ooper -Deemon Estonia teatris",8.0,paber,,kultuur,,1953,,ei,  ,dirigent,"Nigula, Priit",,,,,,,,ETMM,_,7215.0,,,M,1.0,113:04:00,1.0,,1.0,,,rahuldav,,,kava
3430424,,,,,,,,,,,,,,,,,,,,,AM,,,,,F,46.0,,1.0,"Majandusajaloo Muuseumi likvideerimiskomsjoni poolt üleantud esemed.

",1.0,,,hea,,,foto
397555,,,,,,sport,,2008,,ei,Eesti  ,,,,,,,kõrgus,cm,42,AM,,,,,F158,27.0,,1.0,,1.0,Fotoplakat. Plakatil kujutatakse rulluisutajaid. Allservas sponsorite logod. Mitmevärvitrükis. Mõõdud: 42x59 cm.,,hea,tumepunane,Fotoplakat. Plakatil kujutatakse rulluisutajaid. Allservas sponsorite logod. Mitmevärvitrükis. Mõõdud: 42x59 cm.,plakat
4313015,,,,,,musitseerimine ja laulmine,,,,,Austria  ,esineja,Vienna Philharmonic Orchestra,,,,,läbimõõt,cm,30,ETMM,_,9967.0,,,Hp,,,1.0,,1.0,,,rahuldav,,"A: F. Schubert: Sümfoonia nr. 8 in B minor, H moll: Unfinished, 2nd Movement Part 2 Andante con moto
B. jätk
",helisalvestis
2794249,,,,,,,,,,,,,,,,,,,,,AM,,,,,N,1.0,,1.0,,1.0,,,hea,,,fotonegatiiv
3282300,ETMM _ 9982 T 187:230/Ar,Alexandra,187.0,paber,,trükkimine/ avaldamine,linn Leipzig,,,,Saksamaa  ,kirjastaja,Philipp Reclam,,,,trükkimine,raamatu maht,lk,80,ETMM,_,9982.0,,,T,230.0,Ar,1.0,,1.0,,,rahuldav,,ENSV Riiklik Avalik Raamatukogu,raamat
2782754,AM _ 13738:256-231 P 936,Von Dehn'i pitser vapiga,936.0,orgaaniline aine,Lakk,<valmistamine/tekkimine>,,1701,1800,ei,  ,,,,,,,läbimõõt,cm,"2,4",AM,_,13738.0,256.0,231,P,,,1.0,Õpetatud Eesti Seltsi kogust,1.0,,Mõranenud,rahuldav,,"Ovaalsele pitseriväljale paigutatud prantsuse vapikilbil kujutatakse sarikat. Kask kannab aadlikrooni ja kahe kotkatiiva vahele paigutatud sarikat. Kilpi kaunistab rikkalik taimornament. Päises initsiaalid ""J v. D"". ",pitser/templijäljend
2012029,,,,,,teater,,2011,,ei,  ,autor,"Noormets, Andres",,"Reklaamleht: Hamlet Anderson, Endla 2011",nimetus lähtedokumendil,,dokumendi maht,leht,1,ETMM,_,12569.0,23.0,,T,2.0,146:11:00,1.0,,1.0,,,hea,,,kava
2338531,AM F158 10:87,1. üleliidulise kunstilise isetegevuse festivali kooride- laureaatide VALIKKONTSERDID Tallinnas 29. juunist 2. juulini. (vene k.),10.0,paber,,trükkimine/ avaldamine,,,,,  ,trükkija (valmistaja),"""Oktoober"" trükikoda",,,,,kõrgus,cm,89,AM,,,,,F158,87.0,,1.0,,,,,hea,,"Mitmevärvitrükk. Sinisel taustal lillad, punased, oranžid, rohelised jne. ringid ja kaared. Tekst üleval. Ofsettrükk.",plakat
2039779,,,,,,,,,,,,,,,,,,,,,AM,_,13741.0,337.0,,F,,,1.0,,,,,hea,,,foto
3100451,ETMM _ 5477 T 37:2/11:6,Kostüümikavand tegelasele Don Juan lavastuses Palju kära ei millestki teatris Estonia,37.0,paber,,teatrietendused,,1936,,ei,Eesti  Tallinn,näitleja,"Tõnopa, Juhan",,,,akvarell,kõrgus,cm,30,ETMM,_,5477.0,,,T,2.0,11:06,1.0,,1.0,,,rahuldav,,,kavand/joonis/eskiis
4114904,ETMM _ 8490 M 144:2/134:7,"""Tantsulugu"" tšellole klaverisaatega",144.0,paber,,komponeerimine,,,,,  ,autor,"Kõrver, Boris",,,,käsitsi kirjutamine,,,,ETMM,_,8490.0,,,M,2.0,134:07:00,1.0,,1.0,,,rahuldav,,,"käsikiri, muusikateos"
3719739,ETMM _ 7223 T 402:766/Ar,Петер возвращается домой,402.0,paber,,trükkimine/ avaldamine,linn Moskva,1938,,ei,Vene  ,kirjastaja,Искусство,,,,trükkimine,raamatu maht,lk,79,ETMM,_,7223.0,,,T,766.0,Ar,1.0,,1.0,,,rahuldav,,,raamat
2931780,ETMM _ 8201 M 13:1/12:3,"Aino Tamm, C. G. Röder arve seoses eesti rahvalaulude trükkimisega",13.0,paber,,trükkimine,,13.10.1922,,ei,Saksamaa  ,osaleja,"Tamm, Aino",,,,,,,,ETMM,_,8201.0,,,M,1.0,12:03,1.0,,1.0,,,hea,,,dokument
2040739,AM F 27045,"ENSV Sõjavägede juhataja kindral-major Ljubovtsevi käskkiri nr 02, 5.juulist 1941.a.",27045.0,fotomaterjal>fotopaber>hõbeželatiinpaber,,kopeerimine (valmistamine),,,,,  ,,,,,,fotograafia>mustvalge fotograafia,lehe kõrgus,cm,9,AM,,,,,F,,,1.0,,0.0,,,hea,,Üleandja: Vello Kuldna (AM),foto
3202665,AM _ 16612:207/1 P 5861:1,Rapla kiriku pitser,5861.0,lakk,,valmistamine,,1801,1900,ei,  ,,,,,,,diameeter,cm,"2,9",AM,_,16612.0,207.0,1,P,1.0,,1.0,,1.0,,Korras,hea,,Siegel der kirche zu Rappel,pitser/templijäljend
3965992,ETMM _ 10154 M 41:2/158:1,"Käsikiri, Ernesaks ,Gustav-Ood laulupeole, sõn.M.Raud, ühendkoorile,partituur",41.0,paber,,komponeerimine,,1983,,ei,  ,autor,"Ernesaks, Gustav",,,,,,,,ETMM,_,10154.0,,,M,2.0,158:01:00,1.0,,1.0,,,rahuldav,,,käsikiri
2076604,AM N 5634:60,Pühajärve,5634.0,fotomaterjal>emulsioon>hõbeželatiinemulsioon,,pildistamine,,1900,1910,,Eesti  Tartu,,,,,,fotograafia>mustvalge fotograafia,laius,cm,15,AM,,,,,N,60.0,,1.0,,1.0,,hõbepeegel,hea,,,fotonegatiiv
2334292,AM _ 27585 A 580:846,Sõlenupp,580.0,pronks,,,,,,,,,,,,,,,,,AM,_,27585.0,,,A,846.0,,1.0,Saadud Mati Mandeli juhatatud kaevamistel 1983-1990 aastatel. (II kaevand),,,,hea,,,arheoloogiline leid
2159050,ETMM _ 12567:227 Mo 310:1/126:22,Eesti Helikunsti Keskus New Yorgis: Kaljo Raid:  Kontserdikavad,310.0,paber,,kultuur,,25.04.1981,,ei,  ,osaleja,"Kurman, Juta",,Kaljo Raid- Kontserdikavad,nimetus lähtedokumendil,,,,,ETMM,_,12567.0,227.0,,Mo,1.0,126:22:00,1.0,Juta Kurmani poolt kogutud Eesti Helikunsti Keskuse New Yorgis arhiiv.,,,,hea,,,kava
2718791,,,,,,,,,,,,,,,,,,,,,AM,,,,,F,,,1.0,,1.0,,,hea,,,foto
3526278,,,,,,valmistamine,,,,,  ,autor,"Püüman, Kustav-Agu",,,,,,,,ETMM,_,12875.0,728.0,,T,2.0,84:39:00,1.0,"T412 Kustav-Agu Püümani teatrikavandid, arhiivmaterjalid, fotod",1.0,T412:2/84:39,,hea,,,kavand/joonis/eskiis
2458121,,,,,,,,,,,,,,,,,,,,,ETMM,_,8291.0,,,T,1.0,57:134,1.0,,1.0,,,hea,,,kava
2936362,ETMM _ 8201 M 13:1/13:14,"Aino Tamm, märkmed seoses eesti rahvalaulude tõlkimise ja trükki toimetamisega",13.0,paber,,trükkimine,,,,,  ,osaleja,"Tamm, Aino",,,,,,,,ETMM,_,8201.0,,,M,1.0,13:14,1.0,,1.0,,,hea,,,märkmed
3851479,AM _ 13672:183 G 5789,Wilhelm Petersenni portree,5789.0,paber,,mehe portree,,,,,  ,autor,"Krause, Wilhelm",,,,litograafia,kõrgus,cm,"14,9",AM,_,13672.0,183.0,,G,,,1.0,,1.0,,koltunud,rahuldav,,,graafika
3269238,ETMM _ 11457 M 159:1/479:3,"Dokument, Karl Leichter, VII IMC kongress, Inglismaa",159.0,paber,,kultuur,,1971,,ei,  ,omanik,"Leichter, Karl",,,,,,,,ETMM,_,11457.0,,,M,1.0,479:03:00,1.0,,1.0,,,rahuldav,,,dokument
2662680,AM P- 453,"Plastmasstoodete vabriku ""Salvo"" kantseleitoodete reklaamlehtede komplekt",453.0,paber,,tööstus,,1971,,ei,Eesti  ,,,,,,,kõrgus,cm,"21,5",AM,,,,,P-,,,1.0,"Esemed on saadud Tallinnast Mustamäelt pärandvara hulgast. Korter kuulus Maido Limbakule (1934-2000), kes töötas omal ajal  ENSV Riikliku Ajaloomuuseumi filiaali ""Tööliste Kelder"" juhatajana.
D tähist kandvad pitsatid on üle antud 1953. aastal ERMi  poolt (väljaandeakt nr 139; 08.01.53). Miks ja kuidas on need eraisiku kätte sattunud, pole teada.",1.0,"1971. Mõõdud 21,5x15 cm.",,hea,,,väiketrükis
3658610,ETMM _ 9020 T 159:1/41:4,P. Ivanovski kiri Georg Otsale Harkovist,159.0,paber,,teater,linn Harkov,29.09.1960,,ei,Ukraina  ,adressaat,"Ots, Georg",,,,masinal kirjutamine,dokumendi maht,leht,1,ETMM,_,9020.0,,,T,1.0,41:04:00,1.0,,1.0,,,hea,,,kiri
2405510,,,,,,,,,,,,,,,,,,,,,AM,,,,,N,,,1.0,,1.0,,,hea,,,fotonegatiiv
3393608,,,,,,,,,,,,,,,,,,,,,AM,,,,,F,31.0,,1.0,"Majandusajaloo Muuseumi likvideerimiskomsjoni poolt üleantud albumid.
",1.0,,,hea,,,foto
3208239,ETMM _ 11025 T 7:3177/Ar,Mutionu sünnipäev,7.0,paber,,näitekirjandus,,,,,  ,autor,"Karro, Harry",,,,masinal kirjutamine,dokumendi maht,lk,25,ETMM,_,11025.0,,,T,3177.0,Ar,1.0,,1.0,,,hea,,Masinak. korras,käsikiri
3683038,ETMM _ Fk 36849/r,"Külmataat, Teater Estonia, 1950, osades: Külmataat – Aaro Pärn, Dunja – Meta Kodanipork",36849.0,film,,pildistamine,,1950,,ei,Eesti  Tallinn,autor,"Alla, Armin",,,,mustvalge fotograafia,negatiivi formaat,60 x 60 mm,1,ETMM,_,,,,Fk,,r,1.0,,1.0,,,rahuldav,,,fotonegatiiv
3676832,,,,,,,,,,,,,,,,,,,,,ETMM,_,6237.0,,,M,1.0,76:10:00,1.0,,1.0,,,rahuldav,,,kutse
3675719,ETMM _ 11008 T 60:2/191:25,Kostüümikavand Aabram Wulfson osatäitjale Pärnu teatri lavastusest Rätsepad Sillamatsil,60.0,paber,,teatrietendused,linn Pärnu,1977,,ei,Eesti  ,autor,"Uibo, Uno",,,,pliiats,kõrgus,cm,31,ETMM,_,11008.0,,,T,2.0,191:25:00,1.0,,1.0,,,hea,,,kavand/joonis/eskiis
